"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region","Region1","valorUFm2"
"52","6067977","4",NA,420,140,"2","UF 10.500,00","324837975","10500.00","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",25
"53","5883840","3",NA,82,73,"2","$ 75.000.000"," 75000000","2424.28552265172","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",29.5644575933137
"54","5462065","3",NA,98,70,"1","UF 2.160,00","66823812","2160.00","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",22.0408163265306
"55","5462112","2",NA,62,59,"1","UF 1.400,00","43311730","1400.00","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",22.5806451612903
"56","6100802","3",NA,96,134,"1","$ 135.000.000"," 135000000","4363.71394077309","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",45.4553535497197
"57","6103483","3",NA,147,61,"3","$ 105.000.000"," 105000000","3393.9997317124","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",23.0884335490639
"58","5569944","3",NA,200,98,"2","$ 155.000.000"," 155000000","5010.19008014688","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",25.0509504007344
"59","6004371","3",NA,320,150,"4","$ 149.900.000"," 149900000","4845.33866460656","2021-12-12","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",15.1416833268955
"60","5043539","4",NA,105,100,"1","$ 67.000.000"," 67000000","2165.6950669022","2021-12-11","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",20.6256673038305
"61","5904552","4",NA,404,164,"8","UF 8.581,00","265469967.95","8581.00","2021-12-11","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",21.240099009901
"62","5904569","3",NA,263,161,"4","UF 6.313,00","195304965.35","6313.00","2021-12-11","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",24.0038022813688
"63","6059363","4",NA,147,99,"1","$ 120.000.000"," 120000000","3878.85683624275","2021-12-10","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",26.3867811989303
"64","4690509","4",NA,750,245,"4","$ 400.000.000"," 400000000","12929.5227874758","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",17.2393637166344
